CRN,Class Name,Building,long,lat,Size,start,end,mon,tues,wed,thur,fri
91367,CS 1301R C04,Howey Physics L5,33.777622,-84.398785,24,18,20,False,False,True,False,False
91360,CS 1301R GR1,Skiles 202,33.773568,-84.395957,1,17,18,False,False,False,True,False
81323,CS 1315 A,Clough UG Learning Commons 152,33.774909,-84.396404,237,8,9,True,False,True,False,True
89411,CS 1315 GR,Clough UG Learning Commons 152,33.774909,-84.396404,0,8,9,True,False,True,False,True
91371,CS 1315R A01,Klaus Advanced Computing 2456,33.777107,-84.395817,49,17,18,False,False,False,True,False
91373,CS 1315R A02,College of Computing 101,33.777576,-84.397352,50,17,18,False,False,False,True,False
91374,CS 1315R A03,College of Computing 101,33.777576,-84.397352,42,18,20,False,False,False,True,False
91375,CS 1315R A04,East Architecture 207,33.776177,-84.395459,15,18,20,False,False,False,True,False
92483,CS 1315R A05,Howey Physics L5,33.777622,-84.398785,4,18,20,False,False,False,True,False
92482,CS 1315R A06,Bunger-Henry 380,33.775803,-84.398189,49,17,18,False,False,False,True,False
91372,CS 1315R GR1,Klaus Advanced Computing 2456,33.777107,-84.395817,5,17,18,False,False,False,True,False
86101,CS 1331 A,East Architecture 123,33.776177,-84.395459,239,9,10,True,False,True,False,True
83731,CS 1331 C,Howey Physics L4,33.777622,-84.398785,268,14,15,True,False,True,False,True
89337,CS 1331 D,Instructional Center 103,33.775587,-84.401213,300,15,16,True,False,True,False,True
87977,CS 1331 GR,East Architecture 123,33.776177,-84.395459,2,9,10,True,False,True,False,True
88376,CS 1331 O1,Clough UG Learning Commons 144,33.774909,-84.396404,251,17,18,False,False,True,False,False
91376,CS 1331R A01,Van Leer C340,33.776065,-84.397116,49,17,18,False,True,False,False,False
91377,CS 1331R A02,Van Leer C341,33.776065,-84.397116,50,17,18,False,True,False,False,False
91378,CS 1331R A03,Van Leer C240,33.776065,-84.397116,48,18,20,False,True,False,False,False
91379,CS 1331R A04,Van Leer C241,33.776065,-84.397116,8,18,20,False,True,False,False,False
91380,CS 1331R A05,Van Leer E283,33.776065,-84.397116,36,17,18,False,True,False,False,False
91385,CS 1331R C01,Cherry Emerson 320,33.778011,-84.397065,50,17,18,False,True,False,False,False
91386,CS 1331R C02,Scheller College of Business 223,33.776533,-84.387765,50,17,18,False,True,False,False,False
91387,CS 1331R C03,College of Computing 101,33.777576,-84.397352,50,18,20,False,True,False,False,False
91388,CS 1331R C04,Cherry Emerson 320,33.778011,-84.397065,39,18,20,False,True,False,False,False
91389,CS 1331R C05,Howey Physics L5,33.777622,-84.398785,13,18,20,False,True,False,False,False
91390,CS 1331R C06,College of Computing 101,33.777576,-84.397352,18,17,18,False,True,False,False,False
91391,CS 1331R D01,Molecular Sciences and Engr 1222,33.779836,-84.396666,50,17,18,False,True,False,False,False
91392,CS 1331R D02,Skiles 202,33.773568,-84.395957,50,17,18,False,True,False,False,False
91393,CS 1331R D03,East Architecture 207,33.776177,-84.395459,50,18,20,False,True,False,False,False
93640,CS 1331R D04,Mason 2117,33.776764,-84.39844,24,18,20,False,True,False,False,False
93641,CS 1331R D05,Clough UG Learning Commons 102,33.774909,-84.396404,50,17,18,False,True,False,False,False
91394,CS 1331R GR1,East Architecture 207,33.776177,-84.395459,2,18,20,False,True,False,False,False
82104,CS 1332 A,Instructional Center 103,33.775587,-84.401213,274,9,10,True,False,True,False,True
84927,CS 1332 B,Scheller College of Business 100,33.776533,-84.387765,248,8,9,True,False,True,False,True
